match_id,player_id,team_id,team_name,player_name,role,champion,win,outcome,game_duration,first_dragon,first_tower,kills,deaths,assists,kda,money,total_money_earned,net_worth,loadout_value,kill_participation,damage_dealt,damage_taken,vision_score,opponent_player,opponent_champion,picks,bans,draft_sequence
2825047_G1,23783,47497,100 Thieves,Quid,TOP,Akali,1,Win,1974,1,1,8,0,14,22.0,1441,16570,15091,13650,91.66666666666666,228954,22325,43.94979476928711,Vulcan,Nautilus,"Rumble, Vi, Akali, Rell, Ezreal","Pantheon, Azir, Poppy, Bard, Alistar",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,20579,47497,100 Thieves,FBI,JUNGLE,Ezreal,1,Win,1974,1,1,3,0,13,16.0,678,14431,13911,13233,66.66666666666666,215062,10178,33.35399627685547,Zven,Corki,"Rumble, Vi, Akali, Rell, Ezreal","Pantheon, Azir, Poppy, Bard, Alistar",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,22660,47497,100 Thieves,River,MID,Vi,1,Win,1974,1,1,6,2,12,9.0,1355,14720,13905,12550,75.0,337640,34108,48.71507263183594,Blaber,Nocturne,"Rumble, Vi, Akali, Rell, Ezreal","Pantheon, Azir, Poppy, Bard, Alistar",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,21380,47497,100 Thieves,Eyla,ADC,Rell,1,Win,1974,1,1,0,3,19,6.333333333333333,933,8403,7083,6150,79.16666666666666,15178,15594,130.19004821777344,Thanatos,Galio,"Rumble, Vi, Akali, Rell, Ezreal","Pantheon, Azir, Poppy, Bard, Alistar",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,21900,47497,100 Thieves,Dhokla,SUPPORT,Rumble,1,Win,1974,1,1,7,2,10,8.5,1712,12807,12512,10800,70.83333333333334,158097,18765,19.931020736694336,Loki ,Orianna,"Rumble, Vi, Akali, Rell, Ezreal","Pantheon, Azir, Poppy, Bard, Alistar",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,24843,47351,Cloud9 Kia,Vulcan,TOP,Nautilus,0,Defeat,1974,0,1,0,6,2,0.3333333333333333,331,6632,5656,5325,28.57142857142857,17628,17664,115.83872985839844,Quid,Akali,"Orianna, Nocturne, Galio, Corki, Nautilus","Yone, Trundle, Wukong, Neeko, Rakan",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,27211,47351,Cloud9 Kia,Zven,JUNGLE,Corki,0,Defeat,1974,0,1,3,6,1,0.6666666666666666,734,12697,12767,12033,57.14285714285714,194787,19631,36.354530334472656,FBI,Ezreal,"Orianna, Nocturne, Galio, Corki, Nautilus","Yone, Trundle, Wukong, Neeko, Rakan",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,24165,47351,Cloud9 Kia,Blaber,MID,Nocturne,0,Defeat,1974,0,1,2,3,5,2.3333333333333335,381,11745,10531,10150,100.0,299730,43216,49.39262771606445,River,Vi,"Orianna, Nocturne, Galio, Corki, Nautilus","Yone, Trundle, Wukong, Neeko, Rakan",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,22956,47351,Cloud9 Kia,Thanatos,ADC,Galio,0,Defeat,1974,0,1,0,4,6,1.5,774,11353,10574,9800,85.71428571428571,141108,21732,37.5579833984375,Eyla,Rell,"Orianna, Nocturne, Galio, Corki, Nautilus","Yone, Trundle, Wukong, Neeko, Rakan",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G1,21565,47351,Cloud9 Kia,Loki ,SUPPORT,Orianna,0,Defeat,1974,0,1,2,5,2,0.8,97,11421,10672,10575,57.14285714285714,162496,20939,28.81317901611328,Dhokla,Rumble,"Orianna, Nocturne, Galio, Corki, Nautilus","Yone, Trundle, Wukong, Neeko, Rakan",1. ban Yone | 2. ban Pantheon | 3. ban Trundle | 4. ban Azir | 5. ban Wukong | 6. ban Poppy | 7. pick Orianna | 8. pick Rumble | 9. pick Vi | 10. pick Nocturne | 11. pick Galio | 12. pick Akali | 13. ban Bard | 14. ban Neeko | 15. ban Alistar | 16. ban Rakan | 17. pick Rell | 18. pick Corki | 19. pick Nautilus | 20. pick Ezreal
2825047_G2,23783,47497,100 Thieves,Quid,TOP,Ryze,0,Defeat,2027,1,0,2,4,0,0.5,160,14009,13310,13150,66.66666666666666,249868,26051,48.397647857666016,Vulcan,Neeko,"Ryze, Wukong, K'Sante, Bard, Varus","Pantheon, Azir, Trundle, Sivir, Alistar",1. ban Yone | 2. ban Pantheon | 3. ban Annie | 4. ban Azir | 5. ban Gwen | 6. ban Trundle | 7. pick Aurora | 8. pick Ryze | 9. pick Wukong | 10. pick Poppy | 11. pick Renekton | 12. pick K'Sante | 13. ban Sivir | 14. ban Rakan | 15. ban Alistar | 16. ban Lucian | 17. pick Bard | 18. pick Yunara | 19. pick Neeko | 20. pick Varus
